iter	MultiClass
0	1.083158481
1	1.068543572
2	1.054295563
3	1.04092463
4	1.025436449
5	1.01010897
6	0.9968207861
7	0.9835926595
8	0.9713766675
9	0.9578585052
10	0.9441253123
11	0.9322733315
12	0.9195362671
13	0.9077082467
14	0.8950664706
15	0.8849948406
16	0.8735830239
17	0.8626469436
18	0.850833143
19	0.839142576
20	0.8287299543
21	0.8178865464
22	0.8101089391
23	0.8009800401
24	0.7912833255
25	0.7809286582
26	0.7735914606
27	0.765668801
28	0.7566195784
29	0.7490087991
30	0.739744666
31	0.7307343558
32	0.7225012105
33	0.7144056279
34	0.7053446697
35	0.6980590787
36	0.6890895675
37	0.6812100359
38	0.6729355028
39	0.6648862599
40	0.6571862263
41	0.6504352439
42	0.6429610449
43	0.635867111
44	0.628715116
45	0.6209437905
46	0.6147646616
47	0.60805094
48	0.6012078397
49	0.5944947801
50	0.5875005281
51	0.580598862
52	0.5739565304
53	0.5673098483
54	0.5607152107
55	0.5542628326
56	0.5477505646
57	0.5418009379
58	0.5365472016
59	0.5308759134
60	0.5250569251
61	0.5198619812
62	0.5141494704
63	0.5085952921
64	0.5034859951
65	0.49774803
66	0.4921505075
67	0.4867397766
68	0.4816336077
69	0.476983345
70	0.4715756339
71	0.4674209142
72	0.4623934444
73	0.4581254774
74	0.4535152799
75	0.4493686233
76	0.4452718252
77	0.441361726
78	0.4366324972
79	0.4323009325
80	0.4282774616
81	0.4235078157
82	0.4192376329
83	0.4150732544
84	0.4112857645
85	0.4076338929
86	0.4039565991
87	0.4002630989
88	0.3959351351
89	0.3918401166
90	0.3878216182
91	0.3842684103
92	0.3803869237
93	0.3766286538
94	0.3730001769
95	0.3695482329
96	0.3657890586
97	0.3630327019
98	0.3600357382
99	0.3569133658
100	0.3536511368
101	0.3501745959
102	0.3471668741
103	0.3440273774
104	0.3404947824
105	0.3370791802
106	0.3336093908
107	0.330437889
108	0.3270983478
109	0.3245817524
110	0.3214415781
111	0.3187293754
112	0.3154834432
113	0.3129608637
114	0.310431016
115	0.3074165904
116	0.3047143882
117	0.3020276758
118	0.299073099
119	0.2963895137
120	0.2942320095
121	0.2914460337
122	0.2887482237
123	0.286076021
124	0.2836461984
125	0.2810885412
126	0.2788635343
127	0.2766839731
128	0.2741304723
129	0.2716499834
130	0.2694013115
131	0.2670611038
132	0.2645307897
133	0.2623094131
134	0.2597232506
135	0.257189549
136	0.255321214
137	0.2531298691
138	0.2509703833
139	0.2487291655
140	0.2464568173
141	0.2444299868
142	0.2421306156
143	0.2400305148
144	0.2377900445
145	0.2359973325
146	0.23410028
147	0.2319726919
148	0.2298821849
149	0.228161181
150	0.2262166587
151	0.2242005096
152	0.2221248421
153	0.220223539
154	0.2181099296
155	0.2164744345
156	0.2147460392
157	0.2130445726
158	0.2111028541
159	0.2093740429
160	0.2074949227
161	0.2055708337
162	0.2040214952
163	0.2023389593
164	0.20067555
165	0.1991748479
166	0.1973449945
167	0.1956145261
168	0.1942241419
169	0.1925364181
170	0.1907656958
171	0.1892088761
172	0.1876259281
173	0.1861018688
174	0.1845094706
175	0.1830021036
176	0.1817266097
177	0.1801362072
178	0.1788923312
179	0.1776737194
180	0.176413543
181	0.1752317881
182	0.1736828
183	0.172262324
184	0.1707662685
185	0.1693023355
186	0.1680113039
187	0.1666214759
188	0.1652697076
189	0.163874246
190	0.1625871807
191	0.161190467
192	0.159803906
193	0.1585036101
194	0.1572251408
195	0.1559198428
196	0.1546727063
197	0.1533178162
198	0.1520212157
199	0.1509117346
