iter	Passed	Remaining
0	0	90
1	0	83
2	1	78
3	1	76
4	1	74
5	2	73
6	2	73
7	3	72
8	3	71
9	3	70
10	4	70
11	4	69
12	4	69
13	5	68
14	5	67
15	5	67
16	6	66
17	6	66
18	6	65
19	7	65
20	7	64
21	7	64
22	8	64
23	8	63
24	9	63
25	9	62
26	9	62
27	10	61
28	10	61
29	10	60
30	11	60
31	11	60
32	11	59
33	12	59
34	12	59
35	12	58
36	13	58
37	13	57
38	13	57
39	14	57
40	14	56
41	14	56
42	15	55
43	15	55
44	16	55
45	16	54
46	16	54
47	17	54
48	17	53
49	17	53
50	18	52
51	18	52
52	18	52
53	19	51
54	19	51
55	19	51
56	20	50
57	20	50
58	20	49
59	21	49
60	21	49
61	21	48
62	22	48
63	22	48
64	22	47
65	23	47
66	23	46
67	24	46
68	24	46
69	24	45
70	24	45
71	25	44
72	25	44
73	26	44
74	26	43
75	26	43
76	27	43
77	27	42
78	27	42
79	28	42
80	28	41
81	28	41
82	29	41
83	29	40
84	29	40
85	30	39
86	30	39
87	30	39
88	31	38
89	31	38
90	31	38
91	32	37
92	32	37
93	32	37
94	33	36
95	33	36
96	33	35
97	34	35
98	34	35
99	34	34
100	35	34
101	35	34
102	35	33
103	36	33
104	36	33
105	37	32
106	37	32
107	37	32
108	38	31
109	38	31
110	38	31
111	39	30
112	39	30
113	39	30
114	40	29
115	40	29
116	40	29
117	41	28
118	41	28
119	42	28
120	42	27
121	42	27
122	43	26
123	43	26
124	43	26
125	44	25
126	44	25
127	44	25
128	45	24
129	45	24
130	45	24
131	46	23
132	46	23
133	46	23
134	47	22
135	47	22
136	47	22
137	48	21
138	48	21
139	48	20
140	49	20
141	49	20
142	50	19
143	50	19
144	50	19
145	51	18
146	51	18
147	51	18
148	52	17
149	52	17
150	52	17
151	53	16
152	53	16
153	53	16
154	54	15
155	54	15
156	54	15
157	55	14
158	55	14
159	56	14
160	56	13
161	56	13
162	57	12
163	57	12
164	57	12
165	58	11
166	58	11
167	58	11
168	59	10
169	59	10
170	60	10
171	60	9
172	60	9
173	61	9
174	61	8
175	61	8
176	62	8
177	62	7
178	62	7
179	63	7
180	63	6
181	63	6
182	64	5
183	64	5
184	64	5
185	65	4
186	65	4
187	66	4
188	66	3
189	66	3
190	67	3
191	67	2
192	67	2
193	68	2
194	68	1
195	69	1
196	69	1
197	69	0
198	70	0
199	70	0
